beta: 25.2474sec, alpha:  6.5235sec, calc: 266070 / 499500
beta: 25.4049sec, alpha:  6.5579sec, calc: 267730 / 499500
beta: 26.0914sec, alpha:  6.7191sec, calc: 274742 / 499500
beta: 25.1795sec, alpha:  6.4799sec, calc: 263729 / 499500
beta: 25.8789sec, alpha:  6.6544sec, calc: 271663 / 499500
beta: 25.6659sec, alpha:  6.6061sec, calc: 269923 / 499500
beta: 24.9374sec, alpha:  6.3842sec, calc: 262121 / 499500
beta: 25.4103sec, alpha:  6.5571sec, calc: 267250 / 499500
beta: 25.1494sec, alpha:  6.4753sec, calc: 264453 / 499500
beta: 25.6813sec, alpha:  6.6138sec, calc: 269987 / 499500
beta: 25.2022sec, alpha:  6.5008sec, calc: 264886 / 499500
beta: 24.9273sec, alpha:  6.4364sec, calc: 262312 / 499500
beta: 25.5708sec, alpha:  6.5835sec, calc: 268787 / 499500
beta: 25.2016sec, alpha:  6.4776sec, calc: 264554 / 499500
beta: 24.9000sec, alpha:  6.4276sec, calc: 261727 / 499500
beta: 25.7962sec, alpha:  6.6647sec, calc: 271220 / 499500
beta: 25.7523sec, alpha:  6.6403sec, calc: 270937 / 499500
beta: 25.4805sec, alpha:  6.5855sec, calc: 268109 / 499500
beta: 25.8956sec, alpha:  6.6651sec, calc: 272721 / 499500
beta: 26.4276sec, alpha:  6.8290sec, calc: 278067 / 499500
beta: 25.5928sec, alpha:  6.5953sec, calc: 269245 / 499500
beta: 25.6028sec, alpha:  6.5777sec, calc: 269115 / 499500
beta: 26.5637sec, alpha:  6.8378sec, calc: 278936 / 499500
beta: 24.9841sec, alpha:  6.4436sec, calc: 262733 / 499500
beta: 24.9635sec, alpha:  6.4213sec, calc: 262158 / 499500
beta: 25.9437sec, alpha:  6.7011sec, calc: 272126 / 499500
beta: 25.7843sec, alpha:  6.6443sec, calc: 271004 / 499500
beta: 25.6821sec, alpha:  6.6250sec, calc: 270417 / 499500
beta: 25.6248sec, alpha:  6.5971sec, calc: 270040 / 499500
beta: 25.7388sec, alpha:  6.6388sec, calc: 271220 / 499500
beta: 24.9953sec, alpha:  6.4390sec, calc: 263022 / 499500
beta: 24.6261sec, alpha:  6.3517sec, calc: 258890 / 499500
beta: 25.6599sec, alpha:  6.5980sec, calc: 269749 / 499500
beta: 25.1900sec, alpha:  6.5141sec, calc: 264724 / 499500
beta: 25.0332sec, alpha:  6.4526sec, calc: 263215 / 499500
beta: 26.1097sec, alpha:  6.7312sec, calc: 274438 / 499500
beta: 25.3573sec, alpha:  6.5261sec, calc: 266032 / 499500
beta: 25.1619sec, alpha:  6.4851sec, calc: 264530 / 499500
beta: 24.8783sec, alpha:  6.3948sec, calc: 261240 / 499500
beta: 25.8906sec, alpha:  6.6558sec, calc: 271763 / 499500
beta: 25.4465sec, alpha:  6.5501sec, calc: 267085 / 499500
beta: 24.9549sec, alpha:  6.4417sec, calc: 262464 / 499500
beta: 25.5178sec, alpha:  6.5894sec, calc: 268701 / 499500
beta: 24.9043sec, alpha:  6.4324sec, calc: 262658 / 499500
beta: 25.8075sec, alpha:  6.6389sec, calc: 271725 / 499500
beta: 25.7651sec, alpha:  6.6147sec, calc: 270787 / 499500
beta: 26.0055sec, alpha:  6.6764sec, calc: 273230 / 499500
beta: 25.4947sec, alpha:  6.5561sec, calc: 268333 / 499500
beta: 24.9377sec, alpha:  6.4345sec, calc: 262398 / 499500
beta: 26.4676sec, alpha:  6.8042sec, calc: 278033 / 499500
